地區,大廈名單,name,lat,lng
沙田,美田邨美滿樓,美田邨美滿樓,22.3751587,114.1726855
沙田,耀安邨耀和樓,耀和樓,22.419797,114.230637
沙田,耀安邨耀平樓,耀安邨耀平樓,22.4188295,114.2299944
沙田,金禧商場 大家樂 (非住宅),大家樂,22.3746528,114.1776155
沙田,錦泰苑錦晶閣,錦泰苑G座錦晶閣,22.4074015,114.2207066
沙田,錦泰苑錦邦閣,錦泰苑B座錦邦閣,22.409082,114.2212406
沙田,錦豐苑錦萱閣,錦豐苑F座錦萱閣,22.421901,114.224821
沙田,錦豐苑錦葵閣,錦豐苑E座錦葵閣,22.4223274,114.224979
沙田,錦豐苑錦薇閣,錦豐苑G座錦薇閣,22.4210935,114.2245146
沙田,錦鞍苑銀鞍閣,錦鞍苑B座銀鞍閣,22.4165537,114.2260703
沙田,錦龍苑龍悅樓,錦龍苑A座龍悅閣,22.4260504,114.2406519
沙田,隆亨邨善心樓,隆亨邨善心樓,22.3655708,114.1774925
沙田,隆亨邨慧心樓,隆亨邨慧心樓,22.364754,114.177664
沙田,隆亨邨榮心樓,隆亨邨榮心樓,22.3686088,114.1793735
沙田,隆亨邨賞心樓,隆亨邨賞心樓,22.3651992,114.1781891
沙田,隔田村,隔田村南滘,22.367032,114.183494
沙田,隔田村公廟,沙田車公廟,22.373419,114.182831
沙田,雲疊花園6座,雲叠花園6座,22.3677116,114.1756795
沙田,雲疊花園商場 (非住宅),雲疊花園商場,22.368507,114.177542
沙田,頌安商場 百匯軒 (非住宅),百匯軒,22.4218194,114.2267911
沙田,頌安邨頌群樓,頌安邨頌群樓,22.4240523,114.2267437
沙田,顯徑邨顯富樓,顯徑邨顯富樓,22.3609613,114.1720353
沙田,顯徑邨顯慶樓,顯徑邨顯慶樓,22.3639097,114.1732428
沙田,顯耀邨顯耀樓,顯耀邨顯耀樓,22.3669305,114.1745433
油尖旺,一盛大廈 (非住宅),一盛大廈,22.3233488,114.1617244
油尖旺,上海街631-633號 新廣南餐室 (非住宅),新廣南餐室,22.319673,114.167895
油尖旺,中匯街33號中興樓,中興樓,22.3223539,114.1608353
油尖旺,中原樓,中原樓,22.3228702,114.1608884
油尖旺,九龍酒店 (非住宅),九龍酒店,22.2957152,114.1717745
